Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,185,0,29,59.27581969184806,17.276927000239084,2449.940794000213,110.94054054054054,3.129928855095721,0.0,29,37,43,47,60,77,93,2400,2400,2400,2400
POST,/predict?text=Best+purchase+I+have+made+this+year,185,0,35,91.54852729726692,20.73404299972026,2455.6530330000896,108.94054054054054,3.129928855095721,0.0,35,45,53,57,71,91,2400,2400,2500,2500,2500
POST,/predict?text=Completely+useless+and+broken,166,0,30,105.01167476503866,17.12675299950206,2454.4976569995924,102.95180722891567,2.8084767024102146,0.0,30,36,46,49,57,83,2400,2400,2500,2500,2500
POST,/predict?text=Highly+recommended+to+everyone,160,0,27,62.347406550060214,17.339436999463942,2419.2889460000515,103.81875,2.706965496299002,0.0,27,33,39,43,63,88,94,2400,2400,2400,2400
POST,/predict?text=I+love+this+product+very+much,165,0,32,96.07108880000217,19.507099999827915,2458.48174799994,102.95151515151515,2.7915581680583457,0.0,32,43,52,57,68,86,2400,2500,2500,2500,2500
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,163,0,32,53.826424269969344,21.936799999821233,2446.4181869998356,108.94478527607362,2.757721099354608,0.0,32,41,52,58,68,80,100,110,2400,2400,2400
POST,/predict?text=This+is+the+worst+experience+ever,177,0,33,78.20411503391657,19.287869999971008,2478.5754780004936,106.954802259887,2.994580580280771,0.0,33,39,51,53,68,83,110,2500,2500,2500,2500
POST,/predict?text=This+movie+is+absolutely+wonderful,173,0,30,88.68475695951382,18.539985000643355,2449.871898999845,107.9364161849711,2.926906442873296,0.0,30,36,41,45,57,72,2400,2400,2400,2400,2400
,Aggregated,1374,0,31,79.41779867175897,17.12675299950206,2478.5754780004936,106.78893740902474,23.24606619946768,0.0,31,39,46,52,65,81,110,2400,2500,2500,2500
