Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,8,0,19,18.667743250020408,18.218552999996973,19.48064600003363,110.875,0.13680779450763447,0.0,19,19,19,19,19,19,19,19,19,19,19
POST,/predict?text=Best+purchase+I+have+made+this+year,8,0,22,22.288873749999993,21.96740600004432,23.060344999976223,109.0,0.13680779450763447,0.0,22,22,22,22,23,23,23,23,23,23,23
POST,/predict?text=Completely+useless+and+broken,7,0,19,18.72949871428123,18.012522000049103,19.268388000000414,102.85714285714286,0.11970682019418016,0.0,19,19,19,19,19,19,19,19,19,19,19
POST,/predict?text=Highly+recommended+to+everyone,4,0,18.980841000029613,18.729121999996323,18.36827199997515,18.980841000029613,104.0,0.06840389725381724,0.0,19,19,19,19,19,19,19,19,19,19,19
POST,/predict?text=I+love+this+product+very+much,8,0,21,21.119990625010132,20.300622000036128,21.926891000020987,103.0,0.13680779450763447,0.0,21,21,22,22,22,22,22,22,22,22,22
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,5,0,24,23.62319299995761,23.079737999978533,24.140391999935673,108.8,0.08550487156727155,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,/predict?text=This+is+the+worst+experience+ever,9,0,21,21.204876000006657,20.444356999973934,23.101048999933482,106.88888888888889,0.15390876882108878,0.0,21,21,21,22,23,23,23,23,23,23,23
POST,/predict?text=This+movie+is+absolutely+wonderful,9,0,20,208.69880455556236,19.149830999936057,1720.454999000026,108.0,0.15390876882108878,0.0,20,20,20,20,1700,1700,1700,1700,1700,1700,1700
,Aggregated,58,0,20,49.82560224138116,18.012522000049103,1720.454999000026,106.84482758620689,0.9918565101803499,0.0,21,21,22,22,23,24,24,1700,1700,1700,1700
