Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,207,0,27,38.893027115938494,16.90840900027979,458.4904800003642,110.94685990338164,3.5068318360534807,0.0,27,35,45,48,61,86,130,220,460,460,460
POST,/predict?text=Best+purchase+I+have+made+this+year,173,0,36,59.00507530635762,20.681818000412022,517.0577799999592,108.95375722543352,2.9308304716775466,0.0,36,53,64,74,95,170,440,500,520,520,520
POST,/predict?text=Completely+useless+and+broken,177,0,27,54.904681796587525,17.216666999956942,506.13755300037155,102.96045197740114,2.9985953380747152,0.0,27,36,45,49,69,290,480,500,510,510,510
POST,/predict?text=Highly+recommended+to+everyone,182,0,28,39.78220564831745,17.211428999871714,476.55047199987166,103.91758241758242,3.083301421071176,0.0,29,34,42,46,60,76,110,460,480,480,480
POST,/predict?text=I+love+this+product+very+much,160,0,30,44.39069688120867,19.193008999536687,479.79240600034245,102.95,2.7105946558867484,0.0,30,40,48,53,69,100,120,380,480,480,480
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,155,0,32,50.42260625810858,22.064777000196045,516.0138340006597,108.96129032258065,2.6258885728902874,0.0,32,41,48,56,79,140,170,510,520,520,520
POST,/predict?text=This+is+the+worst+experience+ever,182,0,29,44.563805401134694,19.37749199987593,528.4916760001579,106.91758241758242,3.083301421071176,0.0,29,38,44,50,67,110,250,410,530,530,530
POST,/predict?text=This+movie+is+absolutely+wonderful,176,0,29,35.283034903433084,18.30544199947326,143.59228100056498,107.91477272727273,2.9816541214754233,0.0,29,39,47,50,63,72,86,110,140,140,140
,Aggregated,1412,0,29,45.648489337110384,16.90840900027979,528.4916760001579,106.77407932011332,23.920997838200552,0.0,29,39,47,53,69,100,270,460,520,530,530
