Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,82,0,19,28.423837658548532,17.40101100017455,191.54395800001112,110.9390243902439,1.3929458820770804,0.0,19,23,31,33,38,50,170,190,190,190,190
POST,/predict?text=Best+purchase+I+have+made+this+year,72,0,22,33.902505083321756,20.85840300014752,196.72665600000983,108.91666666666667,1.22307443304329,0.0,22,26,34,39,54,70,190,200,200,200,200
POST,/predict?text=Completely+useless+and+broken,70,0,19,25.100239842871424,17.27851999999075,168.18531000012626,102.87142857142857,1.189100143236532,0.0,19,21,27,31,37,43,54,170,170,170,170
POST,/predict?text=Highly+recommended+to+everyone,67,0,18,24.212957955230074,17.26934899988919,133.31922500015025,103.94029850746269,1.138138708526395,0.0,18,20,25,27,37,49,51,130,130,130,130
POST,/predict?text=I+love+this+product+very+much,70,0,21,29.0128091142833,19.42306799992366,79.26727199992456,102.88571428571429,1.189100143236532,0.0,21,32,34,36,47,54,62,79,79,79,79
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,73,0,23,32.276664369846166,21.75417099988408,198.4146720001263,108.93150684931507,1.240061577946669,0.0,23,30,36,39,45,54,93,200,200,200,200
POST,/predict?text=This+is+the+worst+experience+ever,77,0,21,29.66769418182369,19.372236999970482,200.77124199997343,106.94805194805195,1.3080101575601852,0.0,21,22,29,33,40,50,190,200,200,200,200
POST,/predict?text=This+movie+is+absolutely+wonderful,66,0,20,29.932009393936216,18.576890000076673,182.87639100003616,108.0,1.1211515636230158,0.0,20,22,31,33,37,55,160,180,180,180,180
,Aggregated,577,0,22,29.112717911612442,17.26934899988919,200.77124199997343,106.79549393414212,9.8015826092497,0.0,22,24,31,34,43,54,120,190,200,200,200
