Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,76,0,18,21.317778276311042,17.49062699991555,66.94620899997972,110.92105263157895,1.2867341796851781,0.0,18,19,19,21,32,35,42,67,67,67,67
POST,/predict?text=Best+purchase+I+have+made+this+year,64,0,22,32.50019550000083,20.818622000092546,207.0694309999226,108.96875,1.0835656249980448,0.0,22,22,26,29,37,43,190,210,210,210,210
POST,/predict?text=Completely+useless+and+broken,71,0,18,23.744290436619735,17.330915999991703,201.90014000002066,102.95774647887323,1.2020806152322059,0.0,18,19,19,23,32,41,62,200,200,200,200
POST,/predict?text=Highly+recommended+to+everyone,80,0,18,23.986099924994164,17.47107899996081,186.83985500001654,103.85,1.354457031247556,0.0,19,19,25,30,33,37,41,190,190,190,190
POST,/predict?text=I+love+this+product+very+much,83,0,21,26.148168566268975,19.683862999954727,202.22591499998543,102.87951807228916,1.4052491699193392,0.0,21,21,22,29,36,39,76,200,200,200,200
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,63,0,23,31.910319269835032,22.112858000014057,203.24249999998756,108.80952380952381,1.0666349121074503,0.0,23,29,37,37,49,52,54,200,200,200,200
POST,/predict?text=This+is+the+worst+experience+ever,71,0,21,24.897273450691706,19.630504999895493,156.98376299997108,106.92957746478874,1.2020806152322059,0.0,21,21,22,23,33,39,47,160,160,160,160
POST,/predict?text=This+movie+is+absolutely+wonderful,77,0,20,27.900295090914852,18.455893000009382,215.14031699996394,107.92207792207792,1.3036648925757726,0.0,20,20,23,28,35,58,200,220,220,220,220
,Aggregated,585,0,21,26.32747609914309,17.330915999991703,215.14031699996394,106.52649572649572,9.904467040997753,0.0,21,22,24,28,36,41,68,200,220,220,220
