Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,43,0,19,21.177489395347756,17.519544000037968,98.24362799997743,110.90697674418605,0.7306461659046318,0.0,19,19,19,19,23,31,98,98,98,98,98
POST,/predict?text=Best+purchase+I+have+made+this+year,32,0,22,27.102594312516715,21.009671999991042,109.83528099995965,108.96875,0.5437366816034469,0.0,22,22,24,25,35,42,110,110,110,110,110
POST,/predict?text=Completely+useless+and+broken,41,0,19,20.584086609748805,17.65706899993802,35.57020799996735,102.8048780487805,0.6966626233044163,0.0,19,19,19,21,27,30,36,36,36,36,36
POST,/predict?text=Highly+recommended+to+everyone,34,0,18,19.372214558824027,17.655199999921933,35.03276399999322,103.88235294117646,0.5777202242036623,0.0,18,19,19,19,19,32,35,35,35,35,35
POST,/predict?text=I+love+this+product+very+much,30,0,21,22.22223156667269,20.160432000011497,37.41665099994407,102.96666666666667,0.5097531390032315,0.0,21,21,21,22,29,30,37,37,37,37,37
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,36,0,23,25.42871147222867,22.36970100000235,41.61363100001836,108.86111111111111,0.6117037668038777,0.0,23,24,24,24,37,42,42,42,42,42,42
POST,/predict?text=This+is+the+worst+experience+ever,45,0,21,24.388837133336793,19.739613999945504,103.22917899998174,106.86666666666666,0.7646297085048472,0.0,21,21,22,23,30,37,100,100,100,100,100
POST,/predict?text=This+movie+is+absolutely+wonderful,29,0,20,26.04088989655479,18.908631000044807,120.64511500000208,107.89655172413794,0.49276136770312373,0.0,20,20,20,20,25,99,120,120,120,120,120
,Aggregated,290,0,21,23.15621360689953,17.519544000037968,120.64511500000208,106.72068965517241,4.927613677031237,0.0,21,22,23,23,30,36,42,100,120,120,120
