Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,31,0,18,25.06219022578285,17.37125299996478,168.86227999998482,110.90322580645162,0.5254974960554171,0.0,18,19,19,19,27,43,170,170,170,170,170
POST,/predict?text=Best+purchase+I+have+made+this+year,43,0,22,23.380864139547814,21.123600999999326,40.60262799998782,108.93023255813954,0.7289158816252559,0.0,22,22,23,24,27,28,41,41,41,41,41
POST,/predict?text=Completely+useless+and+broken,38,0,19,23.393723157895646,17.72647699999652,171.8127970000296,102.97368421052632,0.6441582209711564,0.0,19,19,19,19,20,35,170,170,170,170,170
POST,/predict?text=Highly+recommended+to+everyone,34,0,19,20.37431094115217,17.285130999880494,40.87188599987712,103.79411764705883,0.5763520924478768,0.0,19,19,19,19,25,35,41,41,41,41,41
POST,/predict?text=I+love+this+product+very+much,34,0,21,26.004890705869055,19.60400699999809,172.25412099992354,103.0,0.5763520924478768,0.0,21,21,21,22,25,31,170,170,170,170,170
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,33,0,23,24.187430727262395,22.464412999852357,51.03105900002447,108.9090909090909,0.5594005603170569,0.0,23,23,23,24,24,26,51,51,51,51,51
POST,/predict?text=This+is+the+worst+experience+ever,34,0,21,31.64054585297168,19.718145000069853,176.34435400009352,106.97058823529412,0.5763520924478768,0.0,21,21,21,24,37,170,180,180,180,180,180
POST,/predict?text=This+movie+is+absolutely+wonderful,44,0,20,20.584691500000023,18.833282000059626,33.57303300003878,107.93181818181819,0.7458674137560758,0.0,20,20,20,20,22,29,34,34,34,34,34
,Aggregated,291,0,20,24.15068587628618,17.285130999880494,176.34435400009352,106.6872852233677,4.932895850068592,0.0,20,22,23,23,26,34,51,170,180,180,180
