Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,201,0,18,21.274783602021486,17.17489399970873,58.58485099997779,110.86567164179104,1.121634080884895,0.0,18,19,21,24,31,35,43,49,59,59,59
POST,/predict?text=Best+purchase+I+have+made+this+year,209,0,22,26.90170890906067,20.793126999706146,64.67663099965648,108.89473684210526,1.1662762333579257,0.0,22,23,30,35,40,45,51,58,65,65,65
POST,/predict?text=Completely+useless+and+broken,218,0,18,27.046135119264463,17.148648999864236,577.3033059999761,102.90366972477064,1.2164986548900854,0.0,18,19,23,26,34,40,48,51,580,580,580
POST,/predict?text=Highly+recommended+to+everyone,228,0,18,24.65631620175532,17.125416999988374,569.177727999886,103.89912280701755,1.2723013454813736,0.0,18,19,22,28,34,42,48,61,570,570,570
POST,/predict?text=I+love+this+product+very+much,232,0,21,27.029921331892762,19.517540999913763,584.0272640002695,102.89655172413794,1.2946224217178888,0.0,21,21,26,31,37,44,50,54,580,580,580
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,210,0,23,30.13372094760165,22.14558199966632,574.9939319998703,108.88571428571429,1.1718565024170546,0.0,23,24,29,33,40,45,58,67,570,570,570
POST,/predict?text=This+is+the+worst+experience+ever,232,0,21,35.02804998706897,19.489257999794063,580.4193180001676,106.9396551724138,1.2946224217178888,0.0,21,24,31,34,38,47,68,580,580,580,580
POST,/predict?text=This+movie+is+absolutely+wonderful,209,0,20,25.81583464113669,18.18279300005088,596.8738339997799,107.88995215311004,1.1662762333579257,0.0,20,20,21,26,36,44,53,55,600,600,600
,Aggregated,1739,0,21,27.336070385849865,17.125416999988374,596.8738339997799,106.53364002300172,9.704087893825038,0.0,21,23,25,30,37,43,53,62,580,600,600
