Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,20194,14249,10,14.486431753392203,4.614931999981309,885.3157229999624,76.34094285431316,341.73855589076913,241.13264746397786,10,13,17,20,27,34,45,48,79,840,890
,Aggregated,20194,14249,10,14.486431753392203,4.614931999981309,885.3157229999624,76.34094285431316,341.73855589076913,241.13264746397786,10,13,17,20,27,34,45,48,79,840,890
