Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,153,0,100,159.18986179084777,18.09309200007192,1035.8492949999345,111.37254901960785,5.283815497195981,0.0,100,150,190,220,280,590,850,970,1000,1000,1000
POST,/predict?text=Best+purchase+I+have+made+this+year,152,0,95,133.04761123684654,21.17698600022777,1040.0074540002606,109.36842105263158,5.249280755384242,0.0,96,160,180,200,250,290,380,900,1000,1000,1000
POST,/predict?text=Completely+useless+and+broken,171,0,100,143.5831349297943,17.59266299995943,1031.668652999997,103.35087719298245,5.905440849807272,0.0,100,150,180,200,270,310,640,1000,1000,1000,1000
POST,/predict?text=Highly+recommended+to+everyone,164,0,91,124.34416195120187,17.593389000012394,993.4400189999906,104.3109756097561,5.663697657125104,0.0,92,140,170,180,220,280,540,720,990,990,990
POST,/predict?text=I+love+this+product+very+much,172,0,140,175.8349908313718,19.456155999705516,1047.3237979999794,103.54069767441861,5.939975591619011,0.0,140,180,220,230,290,560,940,1000,1000,1000,1000
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,157,0,140,191.75007242038075,22.702962000039406,1055.8714700000564,109.5031847133758,5.421954464442934,0.0,140,200,230,260,350,600,960,1000,1100,1100,1100
POST,/predict?text=This+is+the+worst+experience+ever,153,0,110,158.34696188890388,19.966132999797992,1054.7508660001768,107.41830065359477,5.283815497195981,0.0,110,170,200,230,290,340,920,1000,1100,1100,1100
POST,/predict?text=This+movie+is+absolutely+wonderful,152,0,120,146.98549634868198,18.56463200010694,1044.8606170002677,108.42763157894737,5.249280755384242,0.0,120,160,190,220,260,300,330,1000,1000,1000,1000
,Aggregated,1274,0,110,154.19286091207968,17.59266299995943,1055.8714700000564,107.0337519623234,43.997261068154764,0.0,110,160,200,220,280,330,900,1000,1100,1100,1100
