Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,344,0,90,116.39427501162923,17.366412999990644,1041.6788879999785,111.2936046511628,5.819260732194867,0.0,91,130,160,170,210,270,350,1000,1000,1000,1000
POST,/predict?text=Best+purchase+I+have+made+this+year,330,0,120,157.8204111212107,20.69550199985315,1049.1507750000437,109.43030303030304,5.58243035355903,0.0,120,170,190,220,290,340,970,1000,1000,1000,1000
POST,/predict?text=Completely+useless+and+broken,319,0,85,114.5480860282192,17.180194000047777,1039.0131159999783,103.21316614420063,5.396349341773729,0.0,85,120,140,160,220,300,380,890,1000,1000,1000
POST,/predict?text=Highly+recommended+to+everyone,325,0,92,122.47636132000542,17.1887940000488,1047.2120330000507,104.28,5.497848075474803,0.0,92,140,160,180,240,270,340,1000,1000,1000,1000
POST,/predict?text=I+love+this+product+very+much,322,0,96,121.13515938198283,19.983890999810683,907.5220830000035,103.30124223602485,5.4470987086242655,0.0,97,140,170,190,240,300,340,370,910,910,910
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,325,0,130,152.30140616000418,22.32445499998903,1053.187342000001,109.47692307692307,5.497848075474803,0.0,130,170,190,210,290,330,510,940,1100,1100,1100
POST,/predict?text=This+is+the+worst+experience+ever,318,0,100,125.80489218239438,19.2538709998189,1036.3794580000558,107.33018867924528,5.379432886156883,0.0,100,150,170,180,240,290,340,460,1000,1000,1000
POST,/predict?text=This+movie+is+absolutely+wonderful,330,0,100,139.9015922909125,18.45351300016773,1036.7194950001704,108.34545454545454,5.58243035355903,0.0,100,140,170,190,260,330,970,1000,1000,1000,1000
,Aggregated,2613,0,100,131.32146293111626,17.180194000047777,1053.187342000001,107.13394565633372,44.20269852681741,0.0,100,140,170,190,250,310,390,970,1000,1100,1100
