Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,330,0,87,116.65032566970574,17.746076000094035,1031.8626620000941,111.26969696969697,5.579920334855775,0.0,88,130,160,170,230,260,340,690,1000,1000,1000
POST,/predict?text=Best+purchase+I+have+made+this+year,321,0,110,144.43182664797163,21.332366000024194,1053.77875399995,109.3644859813084,5.427740689359708,0.0,110,140,170,200,270,330,720,930,1100,1100,1100
POST,/predict?text=Completely+useless+and+broken,342,0,89,110.47364577778447,17.777471000044898,1032.1702270000515,103.2953216374269,5.7828265288505305,0.0,90,130,150,170,210,250,320,350,1000,1000,1000
POST,/predict?text=Highly+recommended+to+everyone,363,0,100,137.20700461707798,17.85591500015471,1030.7161440000527,104.3305785123967,6.137912368341352,0.0,100,140,170,190,260,300,730,890,1000,1000,1000
POST,/predict?text=I+love+this+product+very+much,306,0,99,133.29242403921364,20.134310999992522,958.7536839999302,103.32352941176471,5.174107946866264,0.0,99,130,170,200,250,340,390,750,960,960,960
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,296,0,110,141.52398851689276,22.61008999994374,1037.6472200000535,109.39527027027027,5.005019451870634,0.0,110,140,180,210,280,340,420,770,1000,1000,1000
POST,/predict?text=This+is+the+worst+experience+ever,334,0,110,144.72633904191508,19.92657099981443,1032.603674000029,107.36526946107784,5.647555732854027,0.0,110,150,190,200,280,340,700,970,1000,1000,1000
POST,/predict?text=This+movie+is+absolutely+wonderful,317,0,110,134.22774864353286,18.612218000043868,1031.8837709999116,108.39432176656152,5.360105291361457,0.0,110,140,170,200,250,310,370,730,1000,1000,1000
,Aggregated,2609,0,100,132.62274023533988,17.746076000094035,1053.77875399995,107.03066308930624,44.115188344359744,0.0,100,140,170,190,250,310,410,840,1000,1100,1100
