Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,183,0,26,45.097890983646714,17.57354499932262,819.9444140000196,110.93442622950819,3.1127508414553167,0.0,26,32,39,47,64,85,140,810,820,820,820
POST,/predict?text=Best+purchase+I+have+made+this+year,157,0,36,63.45586098727922,20.731099000840914,848.4869149997394,108.95541401273886,2.6705020880245067,0.0,36,44,56,62,91,110,830,850,850,850,850
POST,/predict?text=Completely+useless+and+broken,157,0,33,47.98133076433636,17.053595000106725,842.6998889999595,102.91082802547771,2.6705020880245067,0.0,33,43,50,55,71,89,110,830,840,840,840
POST,/predict?text=Highly+recommended+to+everyone,193,0,28,46.456663948235324,17.254850000426813,828.8188249998711,103.92746113989638,3.282846515851782,0.0,28,35,44,48,69,86,130,830,830,830,830
POST,/predict?text=I+love+this+product+very+much,184,0,32,57.02742838589668,19.51625099991361,852.3385569997117,102.94565217391305,3.1297604088949633,0.0,33,44,55,61,76,98,760,850,850,850,850
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,158,0,34,54.748310740498844,22.182019999490876,849.0916310001921,108.90506329113924,2.6875116554641534,0.0,34,41,49,56,74,91,150,840,850,850,850
POST,/predict?text=This+is+the+worst+experience+ever,185,0,32,56.970602945949466,19.428925999818603,851.6722009999285,106.8972972972973,3.1467699763346095,0.0,32,45,54,61,79,94,810,840,850,850,850
POST,/predict?text=This+movie+is+absolutely+wonderful,189,0,32,45.510021063520945,18.31316500010871,839.2653729997619,107.92063492063492,3.2148082460931957,0.0,32,39,47,54,71,88,99,830,840,840,840
,Aggregated,1406,0,31,51.919576630889225,17.053595000106725,852.3385569997117,106.64580369843527,23.915451820143034,0.0,31,40,48,56,74,93,140,830,850,850,850
