Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,155,0,92,124.55595763223403,17.40554499974678,965.2648300002511,111.30967741935484,5.332983858866828,0.0,92,140,160,180,240,300,470,770,970,970,970
POST,/predict?text=Best+purchase+I+have+made+this+year,173,0,120,154.65647557227328,20.917756000017107,997.5321490001079,109.39884393063583,5.952298113444911,0.0,120,170,190,210,260,360,950,980,1000,1000,1000
POST,/predict?text=Completely+useless+and+broken,159,0,98,140.3725854968586,17.471922999902745,982.5664589998269,103.30817610062893,5.470609248773068,0.0,98,130,150,160,220,490,970,980,980,980,980
POST,/predict?text=Highly+recommended+to+everyone,175,0,100,143.27165849142017,17.021582000324997,984.4360259999121,104.31428571428572,6.021110808398031,0.0,100,140,170,190,250,320,970,980,980,980,980
POST,/predict?text=I+love+this+product+very+much,159,0,100,139.6615616037604,19.36515799980043,995.7071490002818,103.35849056603773,5.470609248773068,0.0,100,140,170,190,240,320,980,990,1000,1000,1000
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,147,0,120,160.12464355099485,22.099065000020346,999.0865109998595,109.421768707483,5.057733079054347,0.0,120,160,190,220,310,420,950,1000,1000,1000,1000
POST,/predict?text=This+is+the+worst+experience+ever,168,0,130,161.75374946428315,19.4569989998854,992.3148829998354,107.44642857142857,5.7802663760621105,0.0,130,160,180,200,260,500,970,990,990,990,990
POST,/predict?text=This+movie+is+absolutely+wonderful,155,0,110,133.15051170323005,18.318425999950705,982.0064240002466,108.4,5.332983858866828,0.0,110,140,170,180,230,310,490,740,980,980,980
,Aggregated,1291,0,110,144.85747107513026,17.021582000324997,999.0865109998595,107.07358636715725,44.418594592239195,0.0,110,150,170,190,250,340,970,980,1000,1000,1000
