Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,162,0,22,32.20178962344506,17.297086999860767,508.5614089998671,110.87654320987654,2.7427131683428683,0.0,22,31,34,42,51,69,77,80,510,510,510
POST,/predict?text=Best+purchase+I+have+made+this+year,158,0,37,48.934668221511835,21.016976999817416,544.472272999883,108.9367088607595,2.674991855544279,0.0,37,45,51,54,73,83,120,490,540,540,540
POST,/predict?text=Completely+useless+and+broken,183,0,29,44.42251845354973,17.3575260000689,550.5927399999564,102.92349726775956,3.0982500605354626,0.0,29,34,41,46,58,65,470,540,550,550,550
POST,/predict?text=Highly+recommended+to+everyone,187,0,25,36.99129320319695,17.12120699994557,489.0734260000045,103.95187165775401,3.1659713733340515,0.0,25,33,38,43,53,67,110,420,490,490,490
POST,/predict?text=I+love+this+product+very+much,167,0,32,39.489311562863826,19.703660000004675,392.9812439998841,102.88023952095809,2.827364809341105,0.0,32,41,47,55,64,77,82,100,390,390,390
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,173,0,36,48.11250171676722,21.962026999972295,542.3084719998315,108.9364161849711,2.928946778538989,0.0,36,49,56,61,77,94,120,520,540,540,540
POST,/predict?text=This+is+the+worst+experience+ever,198,0,30,48.89321617676128,19.59535900004994,501.8065019999085,106.96969696969697,3.3522049835301724,0.0,31,41,52,58,73,100,450,490,500,500,500
POST,/predict?text=This+movie+is+absolutely+wonderful,180,0,26,46.22097937221825,18.445986999950037,544.9363270001868,107.9,3.0474590759365205,0.0,26,37,48,52,63,82,450,520,540,540,540
,Aggregated,1408,0,30,43.26269255823262,17.12120699994557,550.5927399999564,106.5887784090909,23.83790210510345,0.0,30,38,46,51,64,80,120,490,540,550,550
