Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict?text=Absolutely+terrible+and+disappointing,7,0,19,310.82073385716416,18.194294000068112,2063.6261649999597,111.28571428571429,0.11906930097532661,0.0,19,19,19,19,2100,2100,2100,2100,2100,2100,2100
POST,/predict?text=Best+purchase+I+have+made+this+year,7,0,23,22.666461428570983,21.735927000008815,23.20251199989798,109.0,0.11906930097532661,0.0,23,23,23,23,23,23,23,23,23,23,23
POST,/predict?text=Completely+useless+and+broken,7,0,18.240590000004886,18.527371857154712,18.240590000004886,19.098455000175818,103.0,0.11906930097532661,0.0,18,18,19,19,19,19,19,19,19,19,19
POST,/predict?text=Highly+recommended+to+everyone,11,0,19,19.153308545459037,18.347541999901296,23.020270000188248,103.9090909090909,0.1871089015326561,0.0,19,19,19,19,19,23,23,23,23,23,23
POST,/predict?text=I+love+this+product+very+much,2,0,21.176939999804745,21.234531999994033,21.176939999804745,21.29212400018332,103.0,0.03401980027866475,0.0,21,21,21,21,21,21,21,21,21,21,21
POST,/predict?text=Not+bad+at+all%2C+actually+quite+good,7,0,24,23.812436857139932,23.29843699999401,24.48272700007692,108.85714285714286,0.11906930097532661,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,/predict?text=This+is+the+worst+experience+ever,5,0,21,21.149858399985533,20.715288000019427,21.601379999992787,106.8,0.08504950069666187,0.0,21,21,21,22,22,22,22,22,22,22,22
POST,/predict?text=This+movie+is+absolutely+wonderful,9,0,20,19.874440666651733,19.203847999961,20.4309389998798,107.88888888888889,0.15308910125399136,0.0,20,20,20,20,20,20,20,20,20,20,20
,Aggregated,55,0,20,57.610249890909806,18.194294000068112,2063.6261649999597,106.89090909090909,0.9355445076632806,0.0,20,21,23,23,24,24,24,2100,2100,2100,2100
